vine	year	px2_cm2	vine_year	species	from_tip	from_base	count	tip_vine	base_vine	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15	x16	y16	x17	y17	x18	y18	x19	y19	x20	y20	x21	y21
237621	2013	13948.005	237621x2013	Vitis_aestivalis	13	3	15	13x237621	3x237621	1071	2307.5	1056	2301.5	1057.5	2283.5	1071.5	2268	1018	2381.333	1024.667	2378.833	1010.833	2374.333	853.25	2328	864.5	2328.25	860.25	2317	794	2119	803.75	2128	806	2114	1003	2799.667	569	2706.333	593	2651.667	402.667	2589	208	2276	466	2187	316	2111	240.333	1777.333
237621	2013	13948.005	237621x2013	Vitis_aestivalis	14	2	15	14x237621	2x237621	1265	3498.5	1249	3497	1242	3484	1253	3462.5	1235.25	3608.5	1240.25	3600.875	1225.125	3598.125	1113.417	3568.917	1124.167	3565.917	1114.5	3558	1072.833	3397.667	1082.833	3406.333	1086.167	3392.5	1254	3931	952	3912	955	3847	784	3807.667	647	3558.333	707	3517	668	3440	590	3178
237621	2013	13948.005	237621x2013	Vitis_aestivalis	15	1	15	15x237621	1x237621	1004	4529.5	994	4525.5	995.5	4511.5	1004.5	4500.5	971.5	4602.333	978.333	4599.333	968.667	4596.167	863.75	4529.5	877	4533.25	874	4523.25	849.5	4396	856.625	4401.875	858.625	4393	950.667	4806.667	735	4730	740.667	4689	618	4614.333	548	4436	580	4414.5	527.5	4336	518.5	4143.25
255189	2013	13948.005	255189x2013	Vitis_riparia	1	15	15	1x255189	15x255189	3284.333	507	3285.667	494.333	3287	469.667	3305.667	491.667	3267.5	499.5	3275	504	3274	492	3279.333	460.667	3268	461.333	3270	471.333	3288.667	425.667	3288.333	439.333	3303.667	430.667	3196	533	3169	438	3185	441	3165	413	3177	291	3217	351	3219	313	3317	149
255189	2013	13948.005	255189x2013	Vitis_riparia	2	14	15	2x255189	14x255189	3207.333	1018.667	3203.625	1006.875	3211.75	995.375	3230.625	993	3181.938	1020.062	3189.875	1022.75	3183.188	1011.438	3160.438	967.438	3163.5	975.667	3169.688	965.562	3186.375	905.125	3184.75	911.875	3199	905	3083	1090	2981	981	3031	984	2982	931	3003	746	3057	826	3044	775.667	3064	563
255189	2013	13948.005	255189x2013	Vitis_riparia	3	13	15	3x255189	13x255189	3085.5	1825	3080.5	1811.5	3092.25	1801.5	3113.5	1798.75	3037.75	1831	3045	1834.125	3041.5	1821.375	3014.375	1755.25	3020	1764.125	3022.875	1749.75	3075.438	1678.312	3070.438	1685.625	3089.25	1674	2883	1951.333	2765	1764	2811	1763	2743	1699.5	2752.667	1428	2862	1514	2872	1424.667	3014.75	1121.75
255189	2013	13948.005	255189x2013	Vitis_riparia	4	12	15	4x255189	12x255189	2968.5	2765.875	2957.875	2757	2984	2748.667	3003.25	2739	2898.875	2789.375	2906.625	2789.125	2903.667	2777.333	2817.333	2689.417	2825.5	2695.833	2823.167	2680.75	2888.333	2557.667	2883.583	2566.417	2901.333	2554.417	2711	3002	2482.333	2788	2557.75	2782	2454.5	2698.75	2382	2358	2588.5	2405.5	2552	2339	2708	1913
255189	2013	13948.005	255189x2013	Vitis_riparia	5	11	15	5x255189	11x255189	2767	4194.667	2754.167	4180	2762	4158.833	2785.667	4147	2684	4262.167	2694.667	4260.333	2678	4249	2561.667	4120.167	2568.167	4127.5	2569	4112	2639	3938.167	2636	3946.917	2652.125	3925.25	2555	4618	2141.667	4385	2241	4345	2081	4270	1889	3784	2110.125	3817.25	2075	3661	2148	3117
255189	2013	13948.005	255189x2013	Vitis_riparia	6	10	15	6x255189	10x255189	1857	1308	1836	1297	1866	1265	1889	1240	1763.5	1396	1775	1393.5	1759	1384	1601.667	1259.667	1612	1267.333	1618.333	1249.667	1615	1009.333	1624.667	1020.333	1634	1007.667	1735	1866	1141	1692	1208	1630	960	1478	680	950	896	950	896	790	864	230
255189	2013	13948.005	255189x2013	Vitis_riparia	7	9	15	7x255189	9x255189	1268	3149	1256	3135	1268	3114	1296	3086	1173.667	3220.333	1193	3218	1168.667	3202.667	1001.75	3053.75	1018	3061.5	1016	3044	1034.5	2799	1046	2815	1055.5	2790	982	3792	400	3408	476	3353	334	3246	96	2642	312	2690	344	2514	304	1938
255189	2013	13948.005	255189x2013	Vitis_riparia	8	8	15	8x255189	8x255189	1839.667	1737	1830.333	1714.333	1855.667	1710.333	1886.333	1707.667	1698	1747.667	1714	1750.333	1711.333	1733	1630.5	1474.25	1633.75	1485.75	1647	1475	1867.667	1273.333	1867.333	1290.333	1883.333	1277.667	1251	2153	926	1450	1026	1442	954.333	1166	1155.333	491.333	1455	782	1527	523.333	2028	114
255189	2013	13948.005	255189x2013	Vitis_riparia	9	7	15	9x255189	7x255189	1902	3968	1897	3951	1918	3939	1950	3944	1761.75	3976	1778.75	3983.25	1777.75	3966.5	1711	3668.125	1715.875	3677.25	1726.375	3668.5	1950	3427.333	1948.667	3449.667	1965.667	3439.667	1280	4293	1055	3721.333	1189.667	3686.667	1103	3424	1205	2674	1529	2920	1565	2722	1926	2180
255189	2013	13948.005	255189x2013	Vitis_riparia	10	6	15	10x255189	6x255189	2632.333	1797.333	2629.667	1778	2649	1760.667	2680.333	1764	2537.667	1803.667	2551.333	1807.333	2545	1791	2376	1525	2382	1536	2396	1525	2612	1203	2612.667	1227	2631.667	1216	2028.667	2233.333	1632	1625	1909	1564	1641	1247.333	1929	505	2292	1047	2146.333	597.667	2547	90
255189	2013	13948.005	255189x2013	Vitis_riparia	11	5	15	11x255189	5x255189	2409	3964.5	2403	3947.5	2425	3935.5	2452.5	3941.5	2250	3944.333	2265.333	3947.667	2266.667	3935	2279.25	3714.5	2281	3724.5	2295	3719.5	2455.5	3482.167	2455	3497.167	2475.667	3488.833	1836	4239	1683	3699	1859	3683	1855	3415	1939	2844.333	2223	3249.667	2112	2934	2364	2538
255189	2013	13948.005	255189x2013	Vitis_riparia	12	4	15	12x255189	4x255189	970	1265.5	954.5	1255.5	998.5	1250.5	1023.5	1238.5	876	1316	894	1313.5	876	1304	765.5	1148.75	774.5	1157.75	783	1144	964.333	932.5	964	946	980	940.833	539	1657	170	1303	292.667	1260.333	164	1024	257	433	698	829	680	334	959	61
255189	2013	13948.005	255189x2013	Vitis_riparia	13	3	15	13x255189	3x255189	798.667	2350.667	802	2337.667	823.333	2336.667	847.667	2342	691.75	2342.25	703.5	2345.75	698.75	2335.25	760.25	2196.75	765.125	2205.875	773.625	2200.125	905	2083.5	900.833	2091.833	918.5	2085.333	374	2490	356	2181	483	2197.5	431	2121	458	1749	746	1930	712	1707	932	1536
255189	2013	13948.005	255189x2013	Vitis_riparia	14	2	15	14x255189	2x255189	860	3345.75	859.25	3329.25	881.25	3320.5	902.75	3317.5	762	3369.5	776.167	3370.333	765.167	3358.667	771.5	3246.167	779.167	3256.833	783.333	3242.167	867.125	3092.75	867.75	3106.125	881.125	3098.25	513.333	3525.333	377.333	3226.667	479	3234.5	409.333	3037	553.333	2770.333	694.667	2957	718	2780	874	2651
255189	2013	13948.005	255189x2013	Vitis_riparia	15	1	15	15x255189	1x255189	750.5	4166.5	745.25	4158.75	763.5	4150.75	783.75	4146	713	4185	719.833	4186.333	710.167	4177.333	676.875	4111.625	682	4117.375	686.375	4109.875	764.5	4025	764.25	4034.5	774.5	4029.75	566	4352	464	4155	510	4129	470.5	4059.5	538.5	3811	646	3899	660.5	3821.5	769	3715.5
271662	2013	13948.005	271662x2013	Vitis_rupestris	1	9	9	1x271662	9x271662	3171.25	487.75	3175.5	477.5	3187	471.5	3202	476	3147.5	472.75	3160.333	481	3159.167	470	3155	421.5	3158.5	431.375	3165	423.375	3200.312	395	3197.688	403.688	3213.438	394.562	3045.667	474	3043.375	381.875	3053.75	382.375	3050	342	3081.5	257	3115.5	279	3134	235	3232	113
271662	2013	13948.005	271662x2013	Vitis_rupestris	2	8	9	2x271662	8x271662	3188.5	1187.5	3182.75	1175.25	3193	1165.875	3210.875	1161.5	3137.167	1197.667	3149.167	1198.167	3142.833	1189.333	3129.833	1131.667	3134.917	1138.417	3140.417	1129.417	3172.125	1062	3173.875	1072	3184.375	1061.25	3038	1280	2935	1166	2971	1155	2921.667	1067	2972.333	872.333	3016.333	905.667	3039	851	3193.667	699
271662	2013	13948.005	271662x2013	Vitis_rupestris	3	7	9	3x271662	7x271662	2961.5	2058	2964.5	2040	2976.5	2028	2996.5	2031.5	2899.333	2043	2910.167	2048.833	2909.5	2035.5	2901.667	1945.333	2905.167	1954.833	2912	1946	3002.333	1887.667	3001.333	1899.5	3013.667	1896.333	2752	2135.333	2679	1920	2708.333	1918.667	2681.667	1828	2752.333	1654.667	2816.333	1674.667	2841.667	1609.333	2925	1434
271662	2013	13948.005	271662x2013	Vitis_rupestris	4	6	9	4x271662	6x271662	2939.333	3017	2940	3002.333	2947.333	2989.667	2970	2989	2848.333	3034.667	2866.667	3037	2856.333	3023.333	2820.75	2900.5	2833.75	2912.5	2838.25	2900.75	2950.5	2847	2947.75	2860.25	2964.75	2844.75	2642	3228	2454	2956	2503	2919.667	2478	2768	2658	2394	2722	2452.5	2835	2403	3153	2385
271662	2013	13948.005	271662x2013	Vitis_rupestris	5	5	9	5x271662	5x271662	2775.5	4087	2773	4075.5	2788	4068	2807.5	4067	2683	4073	2694	4078	2694	4066	2672.375	3979	2678.25	3988.75	2684.5	3979.625	2791.875	3928.625	2790.875	3941.75	2808.5	3933	2473	4192	2389	3984	2412.5	3967.5	2394.667	3887.333	2486.667	3654	2533	3689.333	2555	3624.667	2623	3442
271662	2013	13948.005	271662x2013	Vitis_rupestris	6	4	9	6x271662	4x271662	1894.25	986	1887	969.25	1902.25	960	1915	957	1829.75	981.5	1841.25	986.75	1838.75	975.75	1750.5	803	1753.5	810.833	1759.833	805	1867.667	715.833	1866.5	724.333	1880	721.833	1539.333	1110	1410.667	797.333	1450.667	770.667	1454.667	601.333	1658	412.667	1699.333	480.667	1739.333	416.667	1955	230
271662	2013	13948.005	271662x2013	Vitis_rupestris	7	3	9	7x271662	3x271662	1593.667	1968	1596	1955.333	1586.333	1938.333	1564	1936	1639.5	1978.5	1628.667	1978.5	1635.5	1970.833	1713.625	1863.875	1709.667	1869.333	1704	1863	1598	1792.333	1601.375	1800.75	1584.333	1800.333	1923	2165.667	2115	1865.5	2071	1848.5	2119	1721	1966	1445	1858	1495	1801	1409	1524	1246
271662	2013	13948.005	271662x2013	Vitis_rupestris	8	2	9	8x271662	2x271662	1554.333	2943.667	1559.667	2933	1545	2919.667	1527	2915	1589	2962	1581.333	2965	1589	2954.667	1674	2874.333	1663.833	2882.333	1663.167	2868.833	1566.5	2814.333	1568	2823	1556.833	2820	1846	3144	1986.5	2915.5	1953.5	2896	1974	2792	1888.667	2630.667	1781.333	2649.333	1756	2550	1546	2406
271662	2013	13948.005	271662x2013	Vitis_rupestris	9	1	9	9x271662	1x271662	1523.5	3702	1529.5	3695	1518.5	3686	1500.5	3682	1561	3720.75	1552.5	3719.5	1558.25	3713.5	1601.167	3641.167	1596.333	3647.5	1593.667	3642.833	1520.875	3609.125	1519.25	3618.25	1514	3613.5	1636	3829	1719	3703	1695	3682	1717	3622	1700	3531	1638	3520	1621	3471	1581	3435
279897	2013	13948.005	279897x2013	Vitis_riparia	1	12	12	1x279897	12x279897	3304.667	506.667	3306.333	494	3317.667	495.333	3333.667	498.333	3288.833	488.833	3290.25	496.25	3297.667	487.833	3283.375	422.375	3286.75	435.875	3296.375	423.5	3315.75	380.25	3315.25	398.25	3328.75	391	3171	438.5	3177.667	380.333	3193.667	381.667	3188	325	3260	212	3255	283	3273	245	3321	104
279897	2013	13948.005	279897x2013	Vitis_riparia	2	11	12	2x279897	11x279897	3218	1130.5	3218.5	1116	3232.75	1117	3248.25	1118.5	3180.75	1102.25	3188.5	1112	3197.75	1100.75	3182	1039.667	3184	1047	3192.667	1041	3229.833	1004	3229	1016.667	3243.833	1009.167	3053.667	1065.667	3036.667	977.333	3056.25	997.5	3045	936	3046	801	3102.25	876	3104	808.5	3103	602
279897	2013	13948.005	279897x2013	Vitis_riparia	3	10	12	3x279897	10x279897	3090	2061.667	3084.667	2046.333	3111.333	2054.333	3130	2055.667	3028.25	2032.25	3034.75	2041	3040	2029.25	3024.375	1900.875	3025	1909.75	3037.375	1901.25	3114.167	1863.167	3108.833	1879.5	3128.667	1865.833	2804	1957	2812	1743	2844	1789	2854	1689	2989	1510	3008.5	1641.5	3025	1558	3274	1335
279897	2013	13948.005	279897x2013	Vitis_riparia	4	9	12	4x279897	9x279897	2863	3784	2862	3767	2809	3787	2786	3786	2939	3761	2935.5	3769	2930.5	3753	3004.25	3517	3002.25	3528.75	2992.75	3522.25	2804.5	3464.167	2806.833	3477.833	2789.333	3472.833	3330	3772	3443.5	3426	3359.5	3448	3415	3251	3243	2831	3173.667	2975	3105	2861	2754	2450
279897	2013	13948.005	279897x2013	Vitis_riparia	5	8	12	5x279897	8x279897	2124	1571	2116	1559	2094	1557	2071	1555	2191.5	1540.25	2183.25	1547.75	2179.625	1539.375	2273.167	1274.167	2266.833	1286.667	2261.833	1277.667	2111.125	1121.625	2115	1131.667	2100.667	1127.667	2558.333	1537.333	2672	1155	2633	1195	2677.667	993.333	2557	627	2459	717	2425	559	2276	164
279897	2013	13948.005	279897x2013	Vitis_riparia	6	7	12	6x279897	7x279897	912	2873	907	2856	947	2866	976	2867	825.667	2846.167	839.5	2852.875	837.833	2841.5	732.333	2546.167	740	2558.5	745.333	2548.333	961	2459.75	960.167	2476.833	980.5	2470	366	2905	206.333	2425.667	316.333	2420.667	309.5	2234	406.333	1816	573.667	1907	615.5	1760.5	1014	1326.333
279897	2013	13948.005	279897x2013	Vitis_riparia	7	6	12	7x279897	6x279897	1106	4298.5	1094.5	4281.5	1171	4317	1199	4322	1053	4290.75	1062.75	4293.25	1058.875	4283.25	930.875	4078.75	935.375	4087.5	940.75	4080.25	1148.375	3990.625	1144.625	4010.375	1165.333	4010.667	627	4400	429	4009	513	4008	447.333	3803.667	611	3292	797.667	3507.667	892.333	3293	1013.667	3125
279897	2013	13948.005	279897x2013	Vitis_riparia	8	5	12	8x279897	5x279897	2689	1415	2697.667	1399	2648.333	1417	2624.333	1413.667	2802.25	1401.25	2792.25	1409	2790.75	1395.25	2839.75	1197	2838	1205	2831.625	1196.25	2666.125	1058.125	2671.5	1065.125	2654.625	1065	3193.333	1502.333	3313	1157	3240	1169	3280	931	3059.667	482	2983	662.667	2890.333	496.667	2445.333	302.667
279897	2013	13948.005	279897x2013	Vitis_riparia	9	4	12	9x279897	4x279897	2624	2890	2621	2876	2655.667	2879	2681	2879	2523.667	2871.667	2533.667	2876.667	2535	2866	2481.75	2666.5	2485.25	2676.25	2493.25	2668	2638.167	2536.833	2636.333	2545.167	2651.833	2539.167	2158	2902	2090	2544	2164	2560	2142	2374	2287	2025	2434	2209	2497	2056	2762	1803
279897	2013	13948.005	279897x2013	Vitis_riparia	10	3	12	10x279897	3x279897	1009.5	924.75	1014	914.75	1027	911	1046.25	905.5	934.333	911.333	944	912.667	942.333	904.667	919.5	793	920.833	799.667	929.333	793	1031.25	733.5	1026.25	741	1044	735.75	706	1024	686	790	742	795.5	696	696	705	516	786	540	774	444	861	246
279897	2013	13948.005	279897x2013	Vitis_riparia	11	2	12	11x279897	2x279897	1164.5	1889.5	1168.5	1871	1139.5	1883	1119.5	1886	1214.25	1869.25	1212	1874.25	1210.25	1862	1228	1768.667	1225.833	1778.167	1216	1769.167	1124	1700.667	1126.333	1709	1110.667	1701	1466	1931	1514	1745	1466	1742	1469	1670	1400	1424	1315	1484.333	1298	1415	1136	1253
279897	2013	13948.005	279897x2013	Vitis_riparia	12	1	12	12x279897	1x279897	1179.25	2627.75	1177	2618.5	1156.75	2623.25	1144.75	2623.75	1266.75	2638.75	1259	2638.25	1258.25	2631.75	1219.833	2565.167	1216.833	2570	1210.333	2565.333	1160	2515	1160	2525.333	1152.667	2520	1329.667	2686	1379	2577.333	1340.667	2573.333	1375	2497	1303.667	2359.667	1265.667	2398.333	1253	2362.333	1166.333	2287
313922	2013	13948.005	313922x2013	Vitis_riparia	1	11	11	1x313922	11x313922	3290.333	542	3293.167	526.833	3302	521.667	3316.667	526.833	3267.333	528.667	3274.583	535.083	3280.417	523.75	3276.083	484.25	3278.083	494.833	3286.667	487	3312.25	456	3307.375	464.625	3326	457.75	3172.167	544.333	3156.167	434.833	3173.333	447.5	3176.5	402	3234.375	324	3243.875	347.75	3253.625	319.25	3340	122.333
313922	2013	13948.005	313922x2013	Vitis_riparia	2	10	11	2x313922	10x313922	3188.417	1307.167	3193.5	1299	3208.083	1300.25	3223.667	1304.333	3157.75	1291.5	3164.75	1295.083	3166.438	1285.938	3156.438	1221.312	3157.25	1230.875	3166.438	1225.625	3227.25	1201.875	3222.875	1212.375	3239.5	1208.875	3020	1309	2996	1165	3019.667	1181.667	3016	1129.333	3087	954.667	3104	1026.667	3136	961.667	3235	747
313922	2013	13948.005	313922x2013	Vitis_riparia	3	9	11	3x313922	9x313922	3141.833	2297.667	3140.667	2290.167	3153.667	2286.833	3171.5	2288	3072.167	2288.333	3084.5	2294.333	3084	2282.167	3073.833	2202.833	3078.75	2212	3084.5	2203.833	3148	2126.75	3149.625	2138.5	3162.5	2131.917	2919	2362	2848	2179.333	2874	2191	2849.25	2093.5	2914	1868.75	2965	1946.25	2996.75	1849.75	3143.667	1536.667
313922	2013	13948.005	313922x2013	Vitis_riparia	4	8	11	4x313922	8x313922	2901.833	3419.833	2898.667	3407.167	2914.667	3405.333	2932.667	3407.333	2811.667	3426.333	2824.5	3428.167	2822.167	3416.167	2805.125	3294.75	2809.75	3306	2820.5	3295	2908.75	3185.5	2907.625	3201	2921.25	3192.375	2635	3624	2434	3278	2504	3282.667	2453.5	3155.5	2571.5	2789.5	2639	2888	2682	2796	2856	2447.667
313922	2013	13948.005	313922x2013	Vitis_riparia	5	7	11	5x313922	7x313922	2278	4593	2273	4581.333	2293.667	4572.667	2316.333	4572	2163.667	4602.917	2175.833	4606	2172.167	4594.833	2165.917	4470.25	2171.833	4478.917	2178.5	4470.667	2289.083	4321.167	2291.917	4331.833	2302.583	4326.417	1896	4843.333	1702	4434	1773.5	4431.5	1737	4251	1907.5	3904	1974.5	3952	2026.5	3818.5	2204.667	3359.333
313922	2013	13948.005	313922x2013	Vitis_riparia	6	6	11	6x313922	6x313922	2216	1426	2216.25	1414.5	2226.75	1404.5	2247.25	1404.25	2111	1411.333	2121	1417	2120.667	1404	2063.625	1223.375	2068.5	1236.125	2076.25	1224.375	2242.375	1133	2240.875	1142.625	2255.375	1140.5	1751	1665	1576	1140	1638	1149	1611.667	979.667	1732.333	473	1918.333	686.667	1978	563.5	2224	105
313922	2013	13948.005	313922x2013	Vitis_riparia	7	5	11	7x313922	5x313922	1648.333	2993.333	1646.333	2981.333	1659.667	2974	1681.667	2973.333	1544.667	2984.667	1556	2990	1556.667	2979	1519.5	2779.167	1525.667	2791.667	1532.833	2783.667	1726.5	2580.75	1724.5	2596.5	1737	2592.75	1166	3127	1059	2626	1143	2628	1155	2460	1363	2064	1477	2216	1546.333	2081.333	1788.333	1848
313922	2013	13948.005	313922x2013	Vitis_riparia	9	3	11	9x313922	3x313922	539.5	3073	516	3053.5	534.5	3060	499.5	3054.5	580.75	3047.25	574.75	3054.25	570.75	3045.75	616.333	2940.667	612.667	2955.5	604	2946.167	479.5	2907.5	487.25	2915.5	477.25	2918.75	717.5	3117.25	882.5	2872.5	812	2873	830.5	2778	636.667	2567.333	616.5	2734.5	544.5	2614	343	2555.333
313922	2013	13948.005	313922x2013	Vitis_riparia	10	2	11	10x313922	2x313922	665.25	2115.75	669.5	2104.5	660.5	2097.5	646	2101.833	726.5	2120.5	713.5	2122.5	713.5	2109.5	738.75	1995.25	737.25	2006.25	729	1995.75	678.333	1832.167	675.667	1841	669	1833.667	891.667	2258.333	1036	1956	972	1945	984	1803	936	1662	808	1760	888	1614	832	1376.5
