order	B_all_min	B_all_avg	B_all_max	B_all_pre	B_all_wet	B_ven_min	B_ven_avg	B_ven_max	B_ven_pre	B_ven_wet	B_bla_min	B_bla_avg	B_bla_max	B_bla_pre	B_bla_wet	B_vtb_min	B_vtb_avg	B_vtb_max	B_vtb_pre	B_vtb_wet	T_all_min	T_all_avg	T_all_max	T_all_pre	T_all_wet	T_ven_min	T_ven_avg	T_ven_max	T_ven_pre	T_ven_wet	T_bla_min	T_bla_avg	T_bla_max	T_bla_pre	T_bla_wet	T_vtb_min	T_vtb_avg	T_vtb_max	T_vtb_pre	T_vtb_wet
20	0.20646566	-0.021219454	-0.021219454	0.180635267	0.043636013	0.072110677	-0.040118687	-0.040118687	0.072033391	0.052353925	0.212991796	-0.020411288	-0.020411288	0.185926164	0.043369475	-0.445875377	-0.039680394	-0.039680394	-0.36185108	-0.008145135	0.058531373	-0.068737996	-0.068737996	0.104243693	0.00280593	-0.042723092	-0.077692209	-0.077692209	0.016363394	0.013697546	0.063466259	-0.068276947	-0.068276947	0.108522395	0.002241785	-0.235355944	0.034266837	0.034266837	-0.247223777	0.025574645
21	0.1738076	-0.021219454	-0.021219454	0.180635267	0.043636013	0.096349297	-0.040118687	-0.040118687	0.072033391	0.052353925	0.177711276	-0.020411288	-0.020411288	0.185926164	0.043369475	-0.289453543	-0.039680394	-0.039680394	-0.36185108	-0.008145135	0.063804201	-0.068737996	-0.068737996	0.104243693	0.00280593	0.006547039	-0.077692209	-0.077692209	0.016363394	0.013697546	0.066564345	-0.068276947	-0.068276947	0.108522395	0.002241785	-0.151276478	0.034266837	0.034266837	-0.247223777	0.025574645
22	0.043636013	-0.021219454	-0.021219454	0.180635267	0.014391786	0.052353925	-0.040118687	-0.040118687	0.072033391	0.064434592	0.043369475	-0.020411288	-0.020411288	0.185926164	0.0121964	-0.008145135	-0.039680394	-0.039680394	-0.36185108	0.112077931	0.00280593	-0.068737996	-0.068737996	0.104243693	0.028298503	0.013697546	-0.077692209	-0.077692209	0.016363394	0.067875855	0.002241785	-0.068276947	-0.068276947	0.108522395	0.026318896	0.025574645	0.034266837	0.034266837	-0.247223777	0.061680462
23	0.043636013	-0.021219454	-0.021219454	0.180635267	0.043636013	0.052353925	-0.040118687	-0.040118687	0.072033391	0.052353925	0.043369475	-0.020411288	-0.020411288	0.185926164	0.043369475	-0.008145135	-0.039680394	-0.039680394	-0.36185108	-0.008145135	0.00280593	-0.068737996	-0.068737996	0.104243693	0.00280593	0.013697546	-0.077692209	-0.077692209	0.016363394	0.013697546	0.002241785	-0.068276947	-0.068276947	0.108522395	0.002241785	0.025574645	0.034266837	0.034266837	-0.247223777	0.025574645
24	0.1738076	-0.021219454	0.108952133	0.180635267	0.043636013	0.096349297	-0.040118687	0.003876685	0.072033391	0.052353925	0.177711276	-0.020411288	0.113930514	0.185926164	0.043369475	-0.289453543	-0.039680394	-0.320988802	-0.36185108	-0.008145135	0.063804201	-0.068737996	-0.007739725	0.104243693	0.00280593	0.006547039	-0.077692209	-0.084842716	0.016363394	0.013697546	0.066564345	-0.068276947	-0.003954387	0.108522395	0.002241785	-0.151276478	0.034266837	-0.142584287	-0.247223777	0.025574645
25	0.1738076	0.20646566	0.108952133	0.20646566	0.1738076	0.096349297	0.072110677	0.003876685	0.072110677	0.096349297	0.177711276	0.212991796	0.113930514	0.212991796	0.177711276	-0.289453543	-0.445875377	-0.320988802	-0.445875377	-0.289453543	0.063804201	0.058531373	-0.007739725	0.058531373	0.063804201	0.006547039	-0.042723092	-0.084842716	-0.042723092	0.006547039	0.066564345	0.063466259	-0.003954387	0.063466259	0.066564345	-0.151276478	-0.235355944	-0.142584287	-0.235355944	-0.151276478
26	0.1738076	0.108952133	0.112365967	0.20646566	0.1738076	0.096349297	0.003876685	-0.008281268	0.072110677	0.096349297	0.177711276	0.113930514	0.118037958	0.212991796	0.177711276	-0.289453543	-0.320988802	-0.357187571	-0.445875377	-0.289453543	0.063804201	-0.007739725	0.012480021	0.058531373	0.063804201	0.006547039	-0.084842716	-0.079934539	-0.042723092	0.006547039	0.066564345	-0.003954387	0.017024638	0.063466259	0.066564345	-0.151276478	-0.142584287	-0.190557936	-0.235355944	-0.151276478
27	0.1738076	0.108952133	0.112365967	0.209879494	0.1738076	0.096349297	0.003876685	-0.008281268	0.059952724	0.096349297	0.177711276	0.113930514	0.118037958	0.21709924	0.177711276	-0.289453543	-0.320988802	-0.357187571	-0.482074146	-0.289453543	0.063804201	-0.007739725	0.012480021	0.07875112	0.063804201	0.006547039	-0.084842716	-0.079934539	-0.037814915	0.006547039	0.066564345	-0.003954387	0.017024638	0.084445284	0.066564345	-0.151276478	-0.142584287	-0.190557936	-0.283329594	-0.151276478
28	0.20646566	0.20646566	0.112365967	0.209879494	0.1738076	0.072110677	0.072110677	-0.008281268	0.059952724	0.096349297	0.212991796	0.212991796	0.118037958	0.21709924	0.177711276	-0.445875377	-0.445875377	-0.357187571	-0.482074146	-0.289453543	0.058531373	0.058531373	0.012480021	0.07875112	0.063804201	-0.042723092	-0.042723092	-0.079934539	-0.037814915	0.006547039	0.063466259	0.063466259	0.017024638	0.084445284	0.066564345	-0.235355944	-0.235355944	-0.190557936	-0.283329594	-0.151276478
29	0.1738076	0.20646566	0.209879494	0.209879494	0.1738076	0.096349297	0.072110677	0.059952724	0.059952724	0.096349297	0.177711276	0.212991796	0.21709924	0.21709924	0.177711276	-0.289453543	-0.445875377	-0.482074146	-0.482074146	-0.289453543	0.063804201	0.058531373	0.07875112	0.07875112	0.063804201	0.006547039	-0.042723092	-0.037814915	-0.037814915	0.006547039	0.066564345	0.063466259	0.084445284	0.084445284	0.066564345	-0.151276478	-0.235355944	-0.283329594	-0.283329594	-0.151276478
30	0.1738076	0.209879494	0.180635267	0.1738076	0.1738076	0.096349297	0.059952724	0.072033391	0.096349297	0.096349297	0.177711276	0.21709924	0.185926164	0.177711276	0.177711276	-0.289453543	-0.482074146	-0.36185108	-0.289453543	-0.289453543	0.063804201	0.07875112	0.104243693	0.063804201	0.063804201	0.006547039	-0.037814915	0.016363394	0.006547039	0.006547039	0.066564345	0.084445284	0.108522395	0.066564345	0.066564345	-0.151276478	-0.283329594	-0.247223777	-0.151276478	-0.151276478
31	0.1738076	0.209879494	0.180635267	0.20646566	0.043636013	0.096349297	0.059952724	0.072033391	0.072110677	0.052353925	0.177711276	0.21709924	0.185926164	0.212991796	0.043369475	-0.289453543	-0.482074146	-0.36185108	-0.445875377	-0.008145135	0.063804201	0.07875112	0.104243693	0.058531373	0.00280593	0.006547039	-0.037814915	0.016363394	-0.042723092	0.013697546	0.066564345	0.084445284	0.108522395	0.063466259	0.002241785	-0.151276478	-0.283329594	-0.247223777	-0.235355944	0.025574645
32	0.1738076	0.180635267	0.180635267	0.20646566	0.043636013	0.096349297	0.072033391	0.072033391	0.072110677	0.052353925	0.177711276	0.185926164	0.185926164	0.212991796	0.043369475	-0.289453543	-0.36185108	-0.36185108	-0.445875377	-0.008145135	0.063804201	0.104243693	0.104243693	0.058531373	0.00280593	0.006547039	0.016363394	0.016363394	-0.042723092	0.013697546	0.066564345	0.108522395	0.108522395	0.063466259	0.002241785	-0.151276478	-0.247223777	-0.247223777	-0.235355944	0.025574645
33	0.1738076	0.147977207	0.180635267	0.20646566	0.1738076	0.096349297	0.096272011	0.072033391	0.072110677	0.096349297	0.177711276	0.150645645	0.185926164	0.212991796	0.177711276	-0.289453543	-0.205429246	-0.36185108	-0.445875377	-0.289453543	0.063804201	0.109516521	0.104243693	0.058531373	0.063804201	0.006547039	0.065633525	0.016363394	-0.042723092	0.006547039	0.066564345	0.111620481	0.108522395	0.063466259	0.066564345	-0.151276478	-0.163144311	-0.247223777	-0.235355944	-0.151276478
34	0.1738076	0.147977207	0.180635267	0.20646566	0.043636013	0.096349297	0.096272011	0.072033391	0.072110677	0.052353925	0.177711276	0.150645645	0.185926164	0.212991796	0.043369475	-0.289453543	-0.205429246	-0.36185108	-0.445875377	-0.008145135	0.063804201	0.109516521	0.104243693	0.058531373	0.00280593	0.006547039	0.065633525	0.016363394	-0.042723092	0.013697546	0.066564345	0.111620481	0.108522395	0.063466259	0.002241785	-0.151276478	-0.163144311	-0.247223777	-0.235355944	0.025574645
35	0.1738076	0.1738076	0.180635267	0.20646566	0.108952133	0.096349297	0.096349297	0.072033391	0.072110677	0.003876685	0.177711276	0.177711276	0.185926164	0.212991796	0.113930514	-0.289453543	-0.289453543	-0.36185108	-0.445875377	-0.320988802	0.063804201	0.063804201	0.104243693	0.058531373	-0.007739725	0.006547039	0.006547039	0.016363394	-0.042723092	-0.084842716	0.066564345	0.066564345	0.108522395	0.063466259	-0.003954387	-0.151276478	-0.151276478	-0.247223777	-0.235355944	-0.142584287
36	0.144563373	0.144563373	0.147977207	0.20646566	-0.053877514	0.108429964	0.108429964	0.096272011	0.072110677	-0.015880067	0.146538201	0.146538201	0.150645645	0.212991796	-0.055691807	-0.169230478	-0.169230478	-0.205429246	-0.445875377	0.11674144	0.089296774	0.089296774	0.109516521	0.058531373	-0.063465169	0.060725348	0.060725348	0.065633525	-0.042723092	-0.028422078	0.090641456	0.090641456	0.111620481	0.063466259	-0.065178861	-0.115170662	-0.115170662	-0.163144311	-0.235355944	0.118346303
37	0.144563373	0.144563373	0.147977207	0.20646566	-0.021219454	0.108429964	0.108429964	0.096272011	0.072110677	-0.040118687	0.146538201	0.146538201	0.150645645	0.212991796	-0.020411288	-0.169230478	-0.169230478	-0.205429246	-0.445875377	-0.039680394	0.089296774	0.089296774	0.109516521	0.058531373	-0.068737996	0.060725348	0.060725348	0.065633525	-0.042723092	-0.077692209	0.090641456	0.090641456	0.111620481	0.063466259	-0.068276947	-0.115170662	-0.115170662	-0.163144311	-0.235355944	0.034266837
38	0.144563373	0.144563373	0.144563373	0.20646566	-0.021219454	0.108429964	0.108429964	0.108429964	0.072110677	-0.040118687	0.146538201	0.146538201	0.146538201	0.212991796	-0.020411288	-0.169230478	-0.169230478	-0.169230478	-0.445875377	-0.039680394	0.089296774	0.089296774	0.089296774	0.058531373	-0.068737996	0.060725348	0.060725348	0.060725348	-0.042723092	-0.077692209	0.090641456	0.090641456	0.090641456	0.063466259	-0.068276947	-0.115170662	-0.115170662	-0.115170662	-0.235355944	0.034266837
39	0.144563373	0.144563373	0.147977207	0.20646566	-0.021219454	0.108429964	0.108429964	0.096272011	0.072110677	-0.040118687	0.146538201	0.146538201	0.150645645	0.212991796	-0.020411288	-0.169230478	-0.169230478	-0.205429246	-0.445875377	-0.039680394	0.089296774	0.089296774	0.109516521	0.058531373	-0.068737996	0.060725348	0.060725348	0.065633525	-0.042723092	-0.077692209	0.090641456	0.090641456	0.111620481	0.063466259	-0.068276947	-0.115170662	-0.115170662	-0.163144311	-0.235355944	0.034266837
40	0.144563373	0.144563373	0.147977207	0.108952133	-0.021219454	0.108429964	0.108429964	0.096272011	0.003876685	-0.040118687	0.146538201	0.146538201	0.150645645	0.113930514	-0.020411288	-0.169230478	-0.169230478	-0.205429246	-0.320988802	-0.039680394	0.089296774	0.089296774	0.109516521	-0.007739725	-0.068737996	0.060725348	0.060725348	0.065633525	-0.084842716	-0.077692209	0.090641456	0.090641456	0.111620481	-0.003954387	-0.068276947	-0.115170662	-0.115170662	-0.163144311	-0.142584287	0.034266837
41	0.144563373	0.144563373	0.147977207	0.108952133	-0.021219454	0.108429964	0.108429964	0.096272011	0.003876685	-0.040118687	0.146538201	0.146538201	0.150645645	0.113930514	-0.020411288	-0.169230478	-0.169230478	-0.205429246	-0.320988802	-0.039680394	0.089296774	0.089296774	0.109516521	-0.007739725	-0.068737996	0.060725348	0.060725348	0.065633525	-0.084842716	-0.077692209	0.090641456	0.090641456	0.111620481	-0.003954387	-0.068276947	-0.115170662	-0.115170662	-0.163144311	-0.142584287	0.034266837
42	0.144563373	0.147977207	0.147977207	0.20646566	-0.021219454	0.108429964	0.096272011	0.096272011	0.072110677	-0.040118687	0.146538201	0.150645645	0.150645645	0.212991796	-0.020411288	-0.169230478	-0.205429246	-0.205429246	-0.445875377	-0.039680394	0.089296774	0.109516521	0.109516521	0.058531373	-0.068737996	0.060725348	0.065633525	0.065633525	-0.042723092	-0.077692209	0.090641456	0.111620481	0.111620481	0.063466259	-0.068276947	-0.115170662	-0.163144311	-0.163144311	-0.235355944	0.034266837
43	0.144563373	0.144563373	0.147977207	0.20646566	0.108952133	0.108429964	0.108429964	0.096272011	0.072110677	0.003876685	0.146538201	0.146538201	0.150645645	0.212991796	0.113930514	-0.169230478	-0.169230478	-0.205429246	-0.445875377	-0.320988802	0.089296774	0.089296774	0.109516521	0.058531373	-0.007739725	0.060725348	0.060725348	0.065633525	-0.042723092	-0.084842716	0.090641456	0.090641456	0.111620481	0.063466259	-0.003954387	-0.115170662	-0.115170662	-0.163144311	-0.235355944	-0.142584287
44	0.144563373	0.144563373	0.147977207	0.20646566	0.108952133	0.108429964	0.108429964	0.096272011	0.072110677	0.003876685	0.146538201	0.146538201	0.150645645	0.212991796	0.113930514	-0.169230478	-0.169230478	-0.205429246	-0.445875377	-0.320988802	0.089296774	0.089296774	0.109516521	0.058531373	-0.007739725	0.060725348	0.060725348	0.065633525	-0.042723092	-0.084842716	0.090641456	0.090641456	0.111620481	0.063466259	-0.003954387	-0.115170662	-0.115170662	-0.163144311	-0.235355944	-0.142584287
45	0.144563373	0.144563373	0.147977207	0.20646566	0.108952133	0.108429964	0.108429964	0.096272011	0.072110677	0.003876685	0.146538201	0.146538201	0.150645645	0.212991796	0.113930514	-0.169230478	-0.169230478	-0.205429246	-0.445875377	-0.320988802	0.089296774	0.089296774	0.109516521	0.058531373	-0.007739725	0.060725348	0.060725348	0.065633525	-0.042723092	-0.084842716	0.090641456	0.090641456	0.111620481	0.063466259	-0.003954387	-0.115170662	-0.115170662	-0.163144311	-0.235355944	-0.142584287
46	0.144563373	0.144563373	0.147977207	0.20646566	0.108952133	0.108429964	0.108429964	0.096272011	0.072110677	0.003876685	0.146538201	0.146538201	0.150645645	0.212991796	0.113930514	-0.169230478	-0.169230478	-0.205429246	-0.445875377	-0.320988802	0.089296774	0.089296774	0.109516521	0.058531373	-0.007739725	0.060725348	0.060725348	0.065633525	-0.042723092	-0.084842716	0.090641456	0.090641456	0.111620481	0.063466259	-0.003954387	-0.115170662	-0.115170662	-0.163144311	-0.235355944	-0.142584287
47	0.144563373	0.144563373	0.147977207	0.20646566	0.108952133	0.108429964	0.108429964	0.096272011	0.072110677	0.003876685	0.146538201	0.146538201	0.150645645	0.212991796	0.113930514	-0.169230478	-0.169230478	-0.205429246	-0.445875377	-0.320988802	0.089296774	0.089296774	0.109516521	0.058531373	-0.007739725	0.060725348	0.060725348	0.065633525	-0.042723092	-0.084842716	0.090641456	0.090641456	0.111620481	0.063466259	-0.003954387	-0.115170662	-0.115170662	-0.163144311	-0.235355944	-0.142584287
48	0.147977207	0.147977207	0.147977207	0.209879494	0.108952133	0.096272011	0.096272011	0.096272011	0.059952724	0.003876685	0.150645645	0.150645645	0.150645645	0.21709924	0.113930514	-0.205429246	-0.205429246	-0.205429246	-0.482074146	-0.320988802	0.109516521	0.109516521	0.109516521	0.07875112	-0.007739725	0.065633525	0.065633525	0.065633525	-0.037814915	-0.084842716	0.111620481	0.111620481	0.111620481	0.084445284	-0.003954387	-0.163144311	-0.163144311	-0.163144311	-0.283329594	-0.142584287
49	0.147977207	0.147977207	0.147977207	0.209879494	0.108952133	0.096272011	0.096272011	0.096272011	0.059952724	0.003876685	0.150645645	0.150645645	0.150645645	0.21709924	0.113930514	-0.205429246	-0.205429246	-0.205429246	-0.482074146	-0.320988802	0.109516521	0.109516521	0.109516521	0.07875112	-0.007739725	0.065633525	0.065633525	0.065633525	-0.037814915	-0.084842716	0.111620481	0.111620481	0.111620481	0.084445284	-0.003954387	-0.163144311	-0.163144311	-0.163144311	-0.283329594	-0.142584287
50	0.147977207	0.147977207	0.147977207	0.209879494	0.108952133	0.096272011	0.096272011	0.096272011	0.059952724	0.003876685	0.150645645	0.150645645	0.150645645	0.21709924	0.113930514	-0.205429246	-0.205429246	-0.205429246	-0.482074146	-0.320988802	0.109516521	0.109516521	0.109516521	0.07875112	-0.007739725	0.065633525	0.065633525	0.065633525	-0.037814915	-0.084842716	0.111620481	0.111620481	0.111620481	0.084445284	-0.003954387	-0.163144311	-0.163144311	-0.163144311	-0.283329594	-0.142584287
51	0.147977207	0.147977207	0.147977207	0.209879494	0.108952133	0.096272011	0.096272011	0.096272011	0.059952724	0.003876685	0.150645645	0.150645645	0.150645645	0.21709924	0.113930514	-0.205429246	-0.205429246	-0.205429246	-0.482074146	-0.320988802	0.109516521	0.109516521	0.109516521	0.07875112	-0.007739725	0.065633525	0.065633525	0.065633525	-0.037814915	-0.084842716	0.111620481	0.111620481	0.111620481	0.084445284	-0.003954387	-0.163144311	-0.163144311	-0.163144311	-0.283329594	-0.142584287
