order	B_all_min	B_all_avg	B_all_max	B_all_pre	B_all_wet	B_ven_min	B_ven_avg	B_ven_max	B_ven_pre	B_ven_wet	B_bla_min	B_bla_avg	B_bla_max	B_bla_pre	B_bla_wet	B_vtb_min	B_vtb_avg	B_vtb_max	B_vtb_pre	B_vtb_wet	T_all_min	T_all_avg	T_all_max	T_all_pre	T_all_wet	T_ven_min	T_ven_avg	T_ven_max	T_ven_pre	T_ven_wet	T_bla_min	T_bla_avg	T_bla_max	T_bla_pre	T_bla_wet	T_vtb_min	T_vtb_avg	T_vtb_max	T_vtb_pre	T_vtb_wet
1	-0.053877514	-0.053877514	-0.053877514	0.108952133	-0.021219454	-0.015880067	-0.015880067	-0.015880067	0.003876685	-0.040118687	-0.055691807	-0.055691807	-0.055691807	0.113930514	-0.020411288	0.11674144	0.11674144	0.11674144	-0.320988802	-0.039680394	-0.063465169	-0.063465169	-0.063465169	-0.007739725	-0.068737996	-0.028422078	-0.028422078	-0.028422078	-0.084842716	-0.077692209	-0.065178861	-0.065178861	-0.065178861	-0.003954387	-0.068276947	0.118346303	0.118346303	0.118346303	-0.142584287	0.034266837
2	-0.053877514	-0.053877514	-0.053877514	0.108952133	-0.021219454	-0.015880067	-0.015880067	-0.015880067	0.003876685	-0.040118687	-0.055691807	-0.055691807	-0.055691807	0.113930514	-0.020411288	0.11674144	0.11674144	0.11674144	-0.320988802	-0.039680394	-0.063465169	-0.063465169	-0.063465169	-0.007739725	-0.068737996	-0.028422078	-0.028422078	-0.028422078	-0.084842716	-0.077692209	-0.065178861	-0.065178861	-0.065178861	-0.003954387	-0.068276947	0.118346303	0.118346303	0.118346303	-0.142584287	0.034266837
3	-0.053877514	-0.053877514	-0.053877514	0.108952133	-0.021219454	-0.015880067	-0.015880067	-0.015880067	0.003876685	-0.040118687	-0.055691807	-0.055691807	-0.055691807	0.113930514	-0.020411288	0.11674144	0.11674144	0.11674144	-0.320988802	-0.039680394	-0.063465169	-0.063465169	-0.063465169	-0.007739725	-0.068737996	-0.028422078	-0.028422078	-0.028422078	-0.084842716	-0.077692209	-0.065178861	-0.065178861	-0.065178861	-0.003954387	-0.068276947	0.118346303	0.118346303	0.118346303	-0.142584287	0.034266837
4	-0.053877514	-0.053877514	-0.053877514	0.108952133	-0.021219454	-0.015880067	-0.015880067	-0.015880067	0.003876685	-0.040118687	-0.055691807	-0.055691807	-0.055691807	0.113930514	-0.020411288	0.11674144	0.11674144	0.11674144	-0.320988802	-0.039680394	-0.063465169	-0.063465169	-0.063465169	-0.007739725	-0.068737996	-0.028422078	-0.028422078	-0.028422078	-0.084842716	-0.077692209	-0.065178861	-0.065178861	-0.065178861	-0.003954387	-0.068276947	0.118346303	0.118346303	0.118346303	-0.142584287	0.034266837
5	-0.053877514	-0.053877514	-0.053877514	0.108952133	-0.021219454	-0.015880067	-0.015880067	-0.015880067	0.003876685	-0.040118687	-0.055691807	-0.055691807	-0.055691807	0.113930514	-0.020411288	0.11674144	0.11674144	0.11674144	-0.320988802	-0.039680394	-0.063465169	-0.063465169	-0.063465169	-0.007739725	-0.068737996	-0.028422078	-0.028422078	-0.028422078	-0.084842716	-0.077692209	-0.065178861	-0.065178861	-0.065178861	-0.003954387	-0.068276947	0.118346303	0.118346303	0.118346303	-0.142584287	0.034266837
6	-0.053877514	-0.053877514	-0.021219454	0.108952133	-0.021219454	-0.015880067	-0.015880067	-0.040118687	0.003876685	-0.040118687	-0.055691807	-0.055691807	-0.020411288	0.113930514	-0.020411288	0.11674144	0.11674144	-0.039680394	-0.320988802	-0.039680394	-0.063465169	-0.063465169	-0.068737996	-0.007739725	-0.068737996	-0.028422078	-0.028422078	-0.077692209	-0.084842716	-0.077692209	-0.065178861	-0.065178861	-0.068276947	-0.003954387	-0.068276947	0.118346303	0.118346303	0.034266837	-0.142584287	0.034266837
7	-0.053877514	-0.053877514	-0.021219454	0.108952133	-0.053877514	-0.015880067	-0.015880067	-0.040118687	0.003876685	-0.015880067	-0.055691807	-0.055691807	-0.020411288	0.113930514	-0.055691807	0.11674144	0.11674144	-0.039680394	-0.320988802	0.11674144	-0.063465169	-0.063465169	-0.068737996	-0.007739725	-0.063465169	-0.028422078	-0.028422078	-0.077692209	-0.084842716	-0.028422078	-0.065178861	-0.065178861	-0.068276947	-0.003954387	-0.065178861	0.118346303	0.118346303	0.034266837	-0.142584287	0.118346303
8	-0.053877514	-0.053877514	-0.053877514	0.108952133	-0.053877514	-0.015880067	-0.015880067	-0.015880067	0.003876685	-0.015880067	-0.055691807	-0.055691807	-0.055691807	0.113930514	-0.055691807	0.11674144	0.11674144	0.11674144	-0.320988802	0.11674144	-0.063465169	-0.063465169	-0.063465169	-0.007739725	-0.063465169	-0.028422078	-0.028422078	-0.028422078	-0.084842716	-0.028422078	-0.065178861	-0.065178861	-0.065178861	-0.003954387	-0.065178861	0.118346303	0.118346303	0.118346303	-0.142584287	0.118346303
9	-0.053877514	-0.053877514	-0.053877514	0.112365967	-0.053877514	-0.015880067	-0.015880067	-0.015880067	-0.008281268	-0.015880067	-0.055691807	-0.055691807	-0.055691807	0.118037958	-0.055691807	0.11674144	0.11674144	0.11674144	-0.357187571	0.11674144	-0.063465169	-0.063465169	-0.063465169	0.012480021	-0.063465169	-0.028422078	-0.028422078	-0.028422078	-0.079934539	-0.028422078	-0.065178861	-0.065178861	-0.065178861	0.017024638	-0.065178861	0.118346303	0.118346303	0.118346303	-0.190557936	0.118346303
10	-0.053877514	-0.053877514	-0.021219454	0.209879494	-0.053877514	-0.015880067	-0.015880067	-0.040118687	0.059952724	-0.015880067	-0.055691807	-0.055691807	-0.020411288	0.21709924	-0.055691807	0.11674144	0.11674144	-0.039680394	-0.482074146	0.11674144	-0.063465169	-0.063465169	-0.068737996	0.07875112	-0.063465169	-0.028422078	-0.028422078	-0.077692209	-0.037814915	-0.028422078	-0.065178861	-0.065178861	-0.068276947	0.084445284	-0.065178861	0.118346303	0.118346303	0.034266837	-0.283329594	0.118346303
11	-0.053877514	-0.053877514	-0.021219454	0.209879494	0.043636013	-0.015880067	-0.015880067	-0.040118687	0.059952724	0.052353925	-0.055691807	-0.055691807	-0.020411288	0.21709924	0.043369475	0.11674144	0.11674144	-0.039680394	-0.482074146	-0.008145135	-0.063465169	-0.063465169	-0.068737996	0.07875112	0.00280593	-0.028422078	-0.028422078	-0.077692209	-0.037814915	0.013697546	-0.065178861	-0.065178861	-0.068276947	0.084445284	0.002241785	0.118346303	0.118346303	0.034266837	-0.283329594	0.025574645
12	-0.053877514	-0.053877514	-0.021219454	0.209879494	0.043636013	-0.015880067	-0.015880067	-0.040118687	0.059952724	0.052353925	-0.055691807	-0.055691807	-0.020411288	0.21709924	0.043369475	0.11674144	0.11674144	-0.039680394	-0.482074146	-0.008145135	-0.063465169	-0.063465169	-0.068737996	0.07875112	0.00280593	-0.028422078	-0.028422078	-0.077692209	-0.037814915	0.013697546	-0.065178861	-0.065178861	-0.068276947	0.084445284	0.002241785	0.118346303	0.118346303	0.034266837	-0.283329594	0.025574645
13	-0.053877514	-0.021219454	-0.021219454	0.209879494	0.043636013	-0.015880067	-0.040118687	-0.040118687	0.059952724	0.052353925	-0.055691807	-0.020411288	-0.020411288	0.21709924	0.043369475	0.11674144	-0.039680394	-0.039680394	-0.482074146	-0.008145135	-0.063465169	-0.068737996	-0.068737996	0.07875112	0.00280593	-0.028422078	-0.077692209	-0.077692209	-0.037814915	0.013697546	-0.065178861	-0.068276947	-0.068276947	0.084445284	0.002241785	0.118346303	0.034266837	0.034266837	-0.283329594	0.025574645
14	-0.053877514	-0.021219454	-0.021219454	0.209879494	-0.005397745	-0.015880067	-0.040118687	-0.040118687	0.059952724	0.019223411	-0.055691807	-0.020411288	-0.020411288	0.21709924	-0.006494439	0.11674144	-0.039680394	-0.039680394	-0.482074146	0.057235278	-0.063465169	-0.068737996	-0.068737996	0.07875112	-0.031970226	-0.028422078	-0.077692209	-0.077692209	-0.037814915	-0.007760509	-0.065178861	-0.068276947	-0.068276947	0.084445284	-0.033170752	0.118346303	0.034266837	0.034266837	-0.283329594	0.075853
15	-0.021219454	-0.021219454	-0.021219454	0.209879494	0.043636013	-0.040118687	-0.040118687	-0.040118687	0.059952724	0.052353925	-0.020411288	-0.020411288	-0.020411288	0.21709924	0.043369475	-0.039680394	-0.039680394	-0.039680394	-0.482074146	-0.008145135	-0.068737996	-0.068737996	-0.068737996	0.07875112	0.00280593	-0.077692209	-0.077692209	-0.077692209	-0.037814915	0.013697546	-0.068276947	-0.068276947	-0.068276947	0.084445284	0.002241785	0.034266837	0.034266837	0.034266837	-0.283329594	0.025574645
16	-0.021219454	-0.021219454	-0.021219454	0.209879494	0.043636013	-0.040118687	-0.040118687	-0.040118687	0.059952724	0.052353925	-0.020411288	-0.020411288	-0.020411288	0.21709924	0.043369475	-0.039680394	-0.039680394	-0.039680394	-0.482074146	-0.008145135	-0.068737996	-0.068737996	-0.068737996	0.07875112	0.00280593	-0.077692209	-0.077692209	-0.077692209	-0.037814915	0.013697546	-0.068276947	-0.068276947	-0.068276947	0.084445284	0.002241785	0.034266837	0.034266837	0.034266837	-0.283329594	0.025574645
17	0.108952133	0.108952133	0.108952133	0.180635267	0.043636013	0.003876685	0.003876685	0.003876685	0.072033391	0.052353925	0.113930514	0.113930514	0.113930514	0.185926164	0.043369475	-0.320988802	-0.320988802	-0.320988802	-0.36185108	-0.008145135	-0.007739725	-0.007739725	-0.007739725	0.104243693	0.00280593	-0.084842716	-0.084842716	-0.084842716	0.016363394	0.013697546	-0.003954387	-0.003954387	-0.003954387	0.108522395	0.002241785	-0.142584287	-0.142584287	-0.142584287	-0.247223777	0.025574645
18	0.108952133	0.108952133	0.108952133	0.180635267	0.043636013	0.003876685	0.003876685	0.003876685	0.072033391	0.052353925	0.113930514	0.113930514	0.113930514	0.185926164	0.043369475	-0.320988802	-0.320988802	-0.320988802	-0.36185108	-0.008145135	-0.007739725	-0.007739725	-0.007739725	0.104243693	0.00280593	-0.084842716	-0.084842716	-0.084842716	0.016363394	0.013697546	-0.003954387	-0.003954387	-0.003954387	0.108522395	0.002241785	-0.142584287	-0.142584287	-0.142584287	-0.247223777	0.025574645
19	0.20646566	0.108952133	0.108952133	0.180635267	0.043636013	0.072110677	0.003876685	0.003876685	0.072033391	0.052353925	0.212991796	0.113930514	0.113930514	0.185926164	0.043369475	-0.445875377	-0.320988802	-0.320988802	-0.36185108	-0.008145135	0.058531373	-0.007739725	-0.007739725	0.104243693	0.00280593	-0.042723092	-0.084842716	-0.084842716	0.016363394	0.013697546	0.063466259	-0.003954387	-0.003954387	0.108522395	0.002241785	-0.235355944	-0.142584287	-0.142584287	-0.247223777	0.025574645
