Species,n,Max. temp.,Precip.
Vitis riparia,2208,0.526,-0.379
Vitis labrusca,876,0.433,-0.292
Vitis rupestris,664,0.481,-0.223
Vitis cinerea,660,0.559,-0.295
Vitis acerifolia,400,0.549,-0.366
Vitis amurensis,304,0.657,-0.482
Vitis vulpina,292,0.403,-0.397
Vitis aestivalis,220,0.410,-0.313
Vitis palmata,80,0.568,-0.452
Vitis coignetiae,56,0.560,-0.448
